00:00:48.561;A;$GPGSA,A,3,30,05,07,09,13,,,,,,,,3.82,3.12,2.20*01
00:00:48.615;A;$GPGSV,2,1,07,05,53,292,37,07,54,062,29,09,21,098,23,11,,,21*43
00:00:48.674;B;$SDDPT,,0.00,100.0*4A
00:00:48.683;A;$GPGSV,2,2,07,13,36,280,34,20,,,43,30,83,141,26*79
00:00:48.731;B;$SDDBT,,f,,M,,F*28
00:00:48.740;A;$GPGLL,4935.39547,N,01104.04935,E,155544.00,A,A*65
00:00:48.774;B;$YXMTW,27.10,C*26
00:00:49.214;I;$POSMVCC,5073,4873*5E
00:00:49.372;A;$GPRMC,155545.00,A,4935.39443,N,01104.04855,E,0.579,,200824,,,A*78
00:00:49.445;A;$GPVTG,,T,,M,0.579,N,1.073,K,A*2D
00:00:49.482;A;$GPGGA,155545.00,4935.39443,N,01104.04855,E,1,05,3.12,294.4,M,47.0,M,,*5E
00:00:49.560;A;$GPGSA,A,3,30,05,07,09,13,,,,,,,,3.82,3.12,2.20*01
00:00:49.614;A;$GPGSV,2,1,07,05,53,292,34,07,54,062,20,09,21,098,21,11,,,21*4B
00:00:49.670;B;$SDDPT,,0.00,100.0*4A
00:00:49.684;A;$GPGSV,2,2,07,13,36,280,39,20,,,38,30,83,141,31*7E
00:00:49.725;B;$SDDBT,,f,,M,,F*28
00:00:49.735;A;$GPGLL,4935.39443,N,01104.04855,E,155545.00,A,A*66
00:00:49.774;B;$YXMTW,27.09,C*2E
00:00:50.215;I;$POSMVCC,5073,4873*5E
00:00:50.380;A;$GPRMC,155546.00,A,4935.39487,N,01104.04841,E,0.806,,200824,,,A*73
00:00:50.452;A;$GPVTG,,T,,M,0.806,N,1.493,K,A*22
00:00:50.489;A;$GPGGA,155546.00,4935.39487,N,01104.04841,E,1,05,3.12,295.1,M,47.0,M,,*54
00:00:50.569;A;$GPGSA,A,3,30,05,07,09,13,,,,,,,,3.82,3.12,2.20*01
00:00:50.621;A;$GPGSV,2,1,08,05,53,292,47,07,54,062,23,09,21,098,22,11,,,23*42
00:00:50.673;B;$SDDPT,,0.00,100.0*4A
00:00:50.689;A;$GPGSV,2,2,08,13,36,280,39,20,,,40,22,09,170,,30,83,141,32*42
00:00:50.727;B;$SDDBT,,f,,M,,F*28
00:00:50.755;A;$GPGLL,4935.39487,N,01104.04841,E,155546.00,A,A*68
00:00:50.774;B;$YXMTW,27.09,C*2E
00:00:51.216;I;$POSMVCC,5073,4873*5E
00:00:51.372;A;$GPRMC,155547.00,A,4935.39545,N,01104.04811,E,0.681,,200824,,,A*79
00:00:51.444;A;$GPVTG,,T,,M,0.681,N,1.261,K,A*28
00:00:51.481;A;$GPGGA,155547.00,4935.39545,N,01104.04811,E,1,05,3.28,295.4,M,47.0,M,,*53
00:00:51.558;A;$GPGSA,A,3,30,05,07,09,13,,,,,,,,4.31,3.28,2.80*0D
00:00:51.612;A;$GPGSV,2,1,08,05,53,292,45,07,54,062,26,09,21,098,23,11,,,24*43
00:00:51.677;B;$SDDPT,,0.00,100.0*4A
00:00:51.680;A;$GPGSV,2,2,08,13,36,280,38,20,,,42,22,09,170,,30,83,141,26*44
00:00:51.729;B;$SDDBT,,f,,M,,F*28
00:00:51.746;A;$GPGLL,4935.39545,N,01104.04811,E,155547.00,A,A*63
00:00:51.776;B;$YXMTW,27.09,C*2E
00:00:52.217;I;$POSMVCC,5073,4873*5E
